uid,agencyId,shortName,fullName,description,type,homepage,colour,textColour,sortOrder
249,32527677,249,Маршрутне таксі 249,станція метро «Лівобережна» – з/ платформа «Березняки». Тривалість маршруту 25 хв. Частота відправлення 7-14 хв.,3,null,null,null,38
250,30977976,250,Маршрутне таксі 250,вул. Олени Пчілки – станція метро «Позняки». Тривалість маршруту 18 хв. Частота відправлення 7-14 хв.,3,null,null,null,39
401,30056005,401,Маршрутне таксі 401,вул. Чорнобильська – зал. вокзал «Південний». Тривалість маршруту 55 хв. Частота відправлення 6-12 хв.,3,null,null,null,40
402,30056005,402,Маршрутне таксі 402,вул. Північна – вул. О. Архипенка. Тривалість маршруту 25 хв. Частота відправлення 10-20 хв.,3,null,null,null,41
405,32159460,405,Маршрутне таксі 405,просп. Червоної Калини – універмаг «Дитячий світ». Тривалість маршруту 35 хв. Частота відправлення 10-20 хв.,3,null,null,null,42
407,30056005,407,Маршрутне таксі 407,вул. Гришка – вул. Привокзальна. Тривалість маршруту 40 хв. Частота відправлення 8-16 хв.,3,null,null,null,43
408,24102067,408,Маршрутне таксі 408,вул. Обухівська – зал. станція «Київ-Волинський». Тривалість маршруту 45 хв. Частота відправлення 7-14 хв.,3,null,null,null,44
410,24102067,410,Маршрутне таксі 410,станція метро «Нивки» – станція метро «Почайна». Тривалість маршруту 35 хв. Частота відправлення 9-18 хв.,3,null,null,null,45
411,33305729,411,Маршрутне таксі 411,вул. Симиренка – станція метро «Палац Спорту». Тривалість маршруту 45 хв. Частота відправлення 18-36 хв.,3,null,null,null,46
415,32159460,415,Маршрутне таксі 415,станція метро «Харківська» – вул. Кубанської України. Тривалість маршруту 40 хв. Частота відправлення 8-16 хв.,3,null,null,null,47
416,30056005,416,Маршрутне таксі 416,Кібцентр – вулиця Милославська. Тривалість маршруту 70 хв. Частота відправлення 10-20 хв.,3,null,null,null,48
421,33305729,421,Маршрутне таксі 421,вул. Симиренка – станція метро «Почайна». Тривалість маршруту 50 хв. Частота відправлення 11-22 хв.,3,null,null,null,49
423,30977976,423,Маршрутне таксі 423,Ринок «Лісовий» – вул. Довбуша. Тривалість маршруту 30 хв. Частота відправлення 12-24 хв.,3,null,null,null,50
434,32527677,434,Маршрутне таксі 434,вул. Будищанська – станція метро «Чернігівська». Тривалість маршруту 35 хв. Частота відправлення 10-20 хв.,3,null,null,null,52
442Д,34189167,442Д,Маршрутне таксі 442Д,станція метро «Політехнічний інститут» – вул. Василенка –станція метро «Політехнічний інститут» (кільцевий).Тривалість маршруту 40 хв. Частота відправлення 7-14 хв.,3,null,null,null,54
442,34189167,442,Маршрутне таксі 442,станція метро «Політехнічний інститут» – вул. Гарматна – станція метро «Політехнічний інститут» (кільцевий).Тривалість маршруту 30 хв. Частота відправлення 3-4 хв.,3,null,null,null,55
455,35080121,455,Маршрутне таксі 455,вул. Смілянська – просп. Свободи. Тривалість маршруту 50 хв. Частота відправлення 5-10 хв.,3,null,null,null,56
463,35080121,463,Маршрутне таксі 463,вул. Північна – вул. Кадетський Гай. Тривалість маршруту 60 хв. Частота відправлення 10-20 хв.,3,null,null,null,58
465,30977976,465,Маршрутне таксі 465,просп. Свободи – зал. вокзал «Південний». Тривалість маршруту 45 хв. Частота відправлення 9-18 хв.,3,null,null,null,59
470,30977976,470,Маршрутне таксі 470,вул. Ягідна – Національний музей історії України у Другій світовій війні. Тривалість маршруту 50 хв. Частота відправлення 14-28 хв.,3,null,null,null,60
472,32527677,472,Маршрутне таксі 472,станція метро «Мінська» – просп. Г.Гонгадзе. Тривалість маршруту 30 хв. Частота відправлення 7-14 хв.,3,null,null,null,61
474,30497614,474,Маршрутне таксі 474,станція метро «Харківська» – с. Бортничі. Тривалість маршруту 30 хв. Частота відправлення 8-16 хв.,3,null,null,null,62
475,30977976,475,Маршрутне таксі 475,станція метро «Позняки» – вул. Здолбунівська. Тривалість маршруту 15 хв. Частота відправлення 5-10 хв.,3,null,null,null,63
476,32159460,476,Маршрутне таксі 476,вул. Північна – станція метро «Дарниця». Тривалість маршруту 60 хв. Частота відправлення 14-28 хв.,3,null,null,null,64
477,33305729,477,Маршрутне таксі 477,Деміївська площа – станція метро «Шулявська». Тривалість маршруту 30 хв. Частота відправлення 15-30 хв.,3,null,null,null,65
485,30977976,485,Маршрутне таксі 485,просп. Червоної Калини – станція метро «Героїв Дніпра». Тривалість маршруту 45 хв. Частота відправлення 15-30 хв.,3,null,null,null,66
491,32159460,491,Маршрутне таксі 491,Зал. платформа «Видубичі» – станція метро «Виставковий центр». Тривалість маршруту 40 хв. Частота відправлення 10-20 хв.,3,null,null,null,67
496,30977976,496,Маршрутне таксі 496,Клінічна лікарня «Феофанія» – станція метро «Лук'янівська». Тривалість маршруту 60 хв. Частота відправлення 17-34 хв.,3,null,null,null,68
498,32527677,498,Маршрутне таксі 498,станція метро «Лісова» – вул. Петра Вершигори. Тривалість маршруту 30 хв. Частота відправлення 9-18 хв.,3,null,null,null,69
499,32527677,499,Маршрутне таксі 499,станція метро «Васильківська» – Обласна лікарня. Тривалість маршруту 60 хв. Частота відправлення 12-24 хв.,3,null,null,null,70
503,33305729,503,Маршрутне таксі 503,станція метро «Червоний Хутір» – вул. Митрополита Андрея Шептицького. Тривалість маршруту 45 хв. Частота відправлення 11-22 хв.,3,null,null,null,71
504,32527677,504,Маршрутне таксі 504,вул. Милославська – станція метро «Дарниця». Тривалість маршруту 45 хв. Частота відправлення 11-22 хв.,3,null,null,null,72
509,30056005,509,Маршрутне таксі 509,просп. Червоної Калини – вул. Ялтинська. Тривалість маршруту 45 хв. Частота відправлення 6-12 хв.,3,null,null,null,73
510,33305729,510,Маршрутне таксі 510,вул. Ірпінська – вул. Вахтанга Кікабідзе. Тривалість маршруту 45 хв. Частота відправлення 10-20 хв.,3,null,null,null,74
511,30056005,511,Маршрутне таксі 511,станція метро «Позняки» – вул. Милославська. Тривалість маршруту 55 хв. Частота відправлення 7-14 хв.,3,null,null,null,75
513,32159460,513,Маршрутне таксі 513,станція метро «Позняки» – вул. Поліська. Тривалість маршруту 30 хв. Частота відправлення 9-18 хв.,3,null,null,null,76
518,24102067,518,Маршрутне таксі 518,вул. Сирецька – вул. Кадетський Гай. Тривалість маршруту 60 хв. Частота відправлення 9-18 хв.,3,null,null,null,77
526,30056005,526,Маршрутне таксі 526,станція метро «Позняки» – станція метро «Лісова». Тривалість маршруту 35 хв. Частота відправлення 6-12 хв.,3,null,null,null,79
529,32159460,529,Маршрутне таксі 529,с. Бортничі – просп. Червоної Калини. Тривалість маршруту 70 хв. Частота відправлення 10-20 хв.,3,null,null,null,80
529к,32159460,529к,Маршрутне таксі 529к,станція метро «Харківська» – вул. Шевченка. Тривалість маршруту 60хв. Частота відправлення 60хв.,3,null,null,null,81
530,32527677,530,Маршрутне таксі 530,просп. Свободи – просп. В. Івасюка. Тривалість маршруту 30 хв. Частота відправлення 9-18 хв.,3,null,null,null,82
535,30977976,535,Маршрутне таксі 535,вул. Митрополита Андрея Шептицького – станція метро «Бориспільська». Тривалість маршруту 45 хв. Частота відправлення 10-20 хв.,3,null,null,null,83
537,24102067,537,Маршрутне таксі 537,станція метро «Нивки» – вулиця Героїв Дніпра. Тривалість маршруту 40 хв. Частота відправлення 20-40 хв.,3,null,null,null,84
539,32527677,539,Маршрутне таксі 539,зал. вокзал «Центральний» – вул. Ракетна. Тривалість маршруту 35 хв. Частота відправлення 14-28 хв.,3,null,null,null,85
